Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Social Networking,Unscrambled,Phone_1_Control_SN,Phone_1_Target_SN,../User/Pictures/Social_Networking/Phone_1_Control_SN.png,../User/Pictures/Social_Networking/Phone_1_Target_SN.png,0.660614333,54,Control,Target,Phone,Tiktok,
Alcohol,Scrambled,Social_1_Target_A_Scrambled,Social_1_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_1_Target_A.png,../User/Pictures/Alcohol/Scrambled_Social_1_Control_A.png,0.628481382,53,Target,Control,Social,,
Social Networking,Unscrambled,Misc_4_Target_SN,Misc_4_Control_SN,../User/Pictures/Social_Networking/Misc_4_Target_SN.png,../User/Pictures/Social_Networking/Misc_4_Control_SN.png,0.628398416,52,Target,Control,Misc,Hashtag,
Social Networking,Scrambled,Misc_4_Control_SN_Scrambled,Misc_4_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_4_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_4_Target_SN.png,0.598850504,51,Control,Target,Misc,,
Alcohol,Unscrambled,Social_5_Control_A,Social_5_Target_A,../User/Pictures/Alcohol/Social_5_Control_A.png,../User/Pictures/Alcohol/Social_5_Target_A.png,0.953775654,50,Control,Target,Social,Students,
Social Networking,Scrambled,Icon_5_Target_SN_Scrambled,Icon_5_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_5_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_5_Control_SN.png,0.539776064,49,Target,Control,Icon,,
Alcohol,Scrambled,Social_2_Target_A_Scrambled,Social_2_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_2_Target_A.png,../User/Pictures/Alcohol/Scrambled_Social_2_Control_A.png,0.537373383,48,Target,Control,Social,,
Social Networking,Unscrambled,Icon_4_Control_SN,Icon_4_Target_SN,../User/Pictures/Social_Networking/Icon_4_Control_SN.png,../User/Pictures/Social_Networking/Icon_4_Target_SN.png,0.535022228,47,Control,Target,Icon,Messenger,
Social Networking,Scrambled,Icon_2_Target_SN_Scrambled,Icon_2_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_2_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_2_Control_SN.png,0.506442548,46,Target,Control,Icon,,
Alcohol,Scrambled,Unopened_2_Control_A_Scrambled,Unopened_2_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_2_Control_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_2_Target_A.png,0.806233903,45,Control,Target,Unopened,,
Social Networking,Unscrambled,Website_5_Target_SN,Website_5_Control_SN,../User/Pictures/Social_Networking/Website_5_Target_SN.png,../User/Pictures/Social_Networking/Website_5_Control_SN.png,0.523180373,44,Target,Control,Website,Pexels,
Alcohol,Scrambled,Unopened_5_Control_A_Scrambled,Unopened_5_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_5_Control_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_5_Target_A.png,0.335038776,43,Control,Target,Unopened,,
Alcohol,Unscrambled,Location_3_Target_A,Location_3_Control_A,../User/Pictures/Alcohol/Location_3_Target_A.png,../User/Pictures/Alcohol/Location_3_Control_A.png,0.464347302,42,Target,Control,Location,Drums,
Social Networking,Scrambled,Website_5_Control_SN_Scrambled,Website_5_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_5_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_5_Target_SN.png,0.455249287,41,Control,Target,Website,,
,,,,,,,,,,,,
