Task,Scrambled_Status,Name_1,Name_2,Image1,Image2,Random,Order,
Alcohol,Unscrambled,Location_1_Target_A,Location_1_Control_A,..\User\Pictures\Alcohol\Location_1_Target_A,..\User\Pictures\Alcohol\Location_1_Control_A,0.198334642,17,
Social Networking,Unscrambled,Misc_2_Target_SN,Misc_2_Control_SN,..\User\Pictures\Social_Networking\Misc_2_Target_SN,..\User\Pictures\Social_Networking\Misc_2_Control_SN,0.227995904,18,
Social Networking,Scrambled,Misc_1_Target_SN_Scrambled,Misc_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_1_Control_SN,0.233790555,19,
Alcohol,Scrambled,Unopened_4_Target_A_Scrambled,Unopened_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_4_Control_A,0.241421912,20,
Alcohol,Scrambled,Poured_1_Target_A_Scrambled,Poured_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_1_Control_A,0.242266058,21,
Social Networking,Unscrambled,Phone_2_Target_SN,Phone_2_Control_SN,..\User\Pictures\Social_Networking\Phone_2_Target_SN,..\User\Pictures\Social_Networking\Phone_2_Control_SN,0.245434122,22,
Social Networking,Scrambled,Website_4_Target_SN_Scrambled,Website_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_4_Control_SN,0.361046363,23,
Alcohol,Unscrambled,Poured_4_Target_A,Poured_4_Control_A,..\User\Pictures\Alcohol\Poured_4_Target_A,..\User\Pictures\Alcohol\Poured_4_Control_A,0.275252268,24,
Social Networking,Unscrambled,Phone_3_Target_SN,Phone_3_Control_SN,..\User\Pictures\Social_Networking\Phone_3_Target_SN,..\User\Pictures\Social_Networking\Phone_3_Control_SN,0.519917895,25,
Alcohol,Scrambled,Social_3_Target_A_Scrambled,Social_3_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_3_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_3_Control_A,0.302605896,26,
Social Networking,Unscrambled,Icon_1_Target_SN,Icon_1_Control_SN,..\User\Pictures\Social_Networking\Icon_1_Target_SN,..\User\Pictures\Social_Networking\Icon_1_Control_SN,0.316011621,27,
Alcohol,Unscrambled,Location_5_Target_A,Location_5_Control_A,..\User\Pictures\Alcohol\Location_5_Target_A,..\User\Pictures\Alcohol\Location_5_Control_A,0.317240541,28,
Social Networking,Scrambled,Phone_5_Target_SN_Scrambled,Phone_5_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_5_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_5_Control_SN,0.334481584,29,
Social Networking,Unscrambled,Icon_2_Target_SN,Icon_2_Control_SN,..\User\Pictures\Social_Networking\Icon_2_Target_SN,..\User\Pictures\Social_Networking\Icon_2_Control_SN,0.466167962,30,
Alcohol,Unscrambled,Poured_5_Target_A,Poured_5_Control_A,..\User\Pictures\Alcohol\Poured_5_Target_A,..\User\Pictures\Alcohol\Poured_5_Control_A,0.345222042,31,
Alcohol,Unscrambled,Unopened_2_Target_A,Unopened_2_Control_A,..\User\Pictures\Alcohol\Unopened_2_Target_A,..\User\Pictures\Alcohol\Unopened_2_Control_A,0.345508537,32,
Social Networking,Unscrambled,Phone_4_Target_SN,Phone_4_Control_SN,..\User\Pictures\Social_Networking\Phone_4_Target_SN,..\User\Pictures\Social_Networking\Phone_4_Control_SN,0.345668856,33,
Alcohol,Scrambled,Poured_2_Target_A_Scrambled,Poured_2_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_2_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_2_Control_A,0.301361585,34,
Social Networking,Scrambled,Icon_4_Target_SN_Scrambled,Icon_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_4_Control_SN,0.382404996,35,
Alcohol,Unscrambled,Social_4_Target_A,Social_4_Control_A,..\User\Pictures\Alcohol\Social_4_Target_A,..\User\Pictures\Alcohol\Social_4_Control_A,0.385903059,36,
Social Networking,Scrambled,Phone_2_Target_SN_Scrambled,Phone_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_2_Control_SN,0.393425932,37,
Alcohol,Unscrambled,Social_2_Target_A,Social_2_Control_A,..\User\Pictures\Alcohol\Social_2_Target_A,..\User\Pictures\Alcohol\Social_2_Control_A,0.429374099,38,
Alcohol,Scrambled,Unopened_1_Target_A_Scrambled,Unopened_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_1_Control_A,0.441516365,39,
Social Networking,Unscrambled,Icon_5_Target_SN,Icon_5_Control_SN,..\User\Pictures\Social_Networking\Icon_5_Target_SN,..\User\Pictures\Social_Networking\Icon_5_Control_SN,0.444728684,40,
,,,,,,,,
