Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Social Networking,Scrambled,Website_1_Target_SN_Scrambled,Website_1_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_1_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_1_Control_SN.png,0.027358379,16,Target,Control,Website,,
Alcohol,Unscrambled,Location_2_Control_A,Location_2_Target_A,../User/Pictures/Alcohol/Location_2_Control_A.png,../User/Pictures/Alcohol/Location_2_Target_A.png,0.166810372,15,Control,Target,Location,Motorway,
Social Networking,Unscrambled,Phone_5_Target_SN,Phone_5_Control_SN,../User/Pictures/Social_Networking/Phone_5_Target_SN.png,../User/Pictures/Social_Networking/Phone_5_Control_SN.png,0.156125875,14,Target,Control,Phone,Google,
Alcohol,Scrambled,Location_1_Control_A_Scrambled,Location_1_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_1_Control_A.png,../User/Pictures/Alcohol/Scrambled_Location_1_Target_A.png,0.188646983,13,Control,Target,Location,,
Social Networking,Scrambled,Misc_2_Target_SN_Scrambled,Misc_2_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_2_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_2_Control_SN.png,0.101954374,12,Target,Control,Misc,,
Alcohol,Unscrambled,Poured_3_Control_A,Poured_3_Target_A,../User/Pictures/Alcohol/Poured_3_Control_A.png,../User/Pictures/Alcohol/Poured_3_Target_A.png,0.068205754,11,Control,Target,Poured,Wine,
Alcohol,Scrambled,Social_5_Target_A_Scrambled,Social_5_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_5_Target_A.png,../User/Pictures/Alcohol/Scrambled_Social_5_Control_A.png,0.09636974,10,Target,Control,Social,,
Social Networking,Unscrambled,Website_4_Target_SN,Website_4_Control_SN,../User/Pictures/Social_Networking/Website_4_Target_SN.png,../User/Pictures/Social_Networking/Website_4_Control_SN.png,0.070975165,9,Target,Control,Website,Graph,
Alcohol,Scrambled,Social_4_Control_A_Scrambled,Social_4_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_4_Control_A.png,../User/Pictures/Alcohol/Scrambled_Social_4_Target_A.png,0.100927609,8,Control,Target,Social,,
Alcohol,Unscrambled,Location_4_Target_A,Location_4_Control_A,../User/Pictures/Alcohol/Location_4_Target_A.png,../User/Pictures/Alcohol/Location_4_Control_A.png,0.066166088,7,Target,Control,Location,Shop,
Social Networking,Scrambled,Phone_4_Control_SN_Scrambled,Phone_4_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_4_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_4_Target_SN.png,0.063335041,6,Control,Target,Phone,,
Alcohol,Unscrambled,Poured_1_Target_A,Poured_1_Control_A,../User/Pictures/Alcohol/Poured_1_Target_A.png,../User/Pictures/Alcohol/Poured_1_Control_A.png,0.059379086,5,Target,Control,Poured,Salad,
Social Networking,Scrambled,Phone_1_Control_SN_Scrambled,Phone_1_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_1_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_1_Target_SN.png,0.030445671,4,Control,Target,Phone,,
Alcohol,Unscrambled,Unopened_1_Control_A,Unopened_1_Target_A,../User/Pictures/Alcohol/Unopened_1_Control_A.png,../User/Pictures/Alcohol/Unopened_1_Target_A.png,0.119666411,3,Control,Target,Unopened,Tools,
Social Networking,Unscrambled,Website_2_Target_SN,Website_2_Control_SN,../User/Pictures/Social_Networking/Website_2_Target_SN.png,../User/Pictures/Social_Networking/Website_2_Control_SN.png,0.026990945,2,Target,Control,Website,Marathon,
Alcohol,Scrambled,Location_4_Target_A_Scrambled,Location_4_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_4_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_4_Control_A.png,0.023865481,1,Target,Control,Location,,
,,,,,,,,,,,,
