Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Alcohol,Unscrambled,Poured_4_Target_A,Poured_4_Control_A,../User/Pictures/Alcohol/Poured_4_Target_A.png,../User/Pictures/Alcohol/Poured_4_Control_A.png,0.275252268,24,Target,Control,Poured,Chess,
Social Networking,Unscrambled,Phone_3_Control_SN,Phone_3_Target_SN,../User/Pictures/Social_Networking/Phone_3_Control_SN.png,../User/Pictures/Social_Networking/Phone_3_Target_SN.png,0.519917895,25,Control,Target,Phone,Presentation,
Alcohol,Scrambled,Social_3_Control_A_Scrambled,Social_3_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_3_Control_A.png,../User/Pictures/Alcohol/Scrambled_Social_3_Target_A.png,0.302605896,26,Control,Target,Social,,
Social Networking,Unscrambled,Icon_1_Target_SN,Icon_1_Control_SN,../User/Pictures/Social_Networking/Icon_1_Target_SN.png,../User/Pictures/Social_Networking/Icon_1_Control_SN.png,0.316011621,27,Target,Control,Icon,Snapchat,
Alcohol,Unscrambled,Location_5_Control_A,Location_5_Target_A,../User/Pictures/Alcohol/Location_5_Control_A.png,../User/Pictures/Alcohol/Location_5_Target_A.png,0.317240541,28,Control,Target,Location,Coffee,
Social Networking,Scrambled,Phone_5_Control_SN_Scrambled,Phone_5_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_5_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_5_Target_SN.png,0.334481584,29,Control,Target,Phone,,
Social Networking,Unscrambled,Icon_2_Target_SN,Icon_2_Control_SN,../User/Pictures/Social_Networking/Icon_2_Target_SN.png,../User/Pictures/Social_Networking/Icon_2_Control_SN.png,0.466167962,30,Target,Control,Icon,J_logo,
Alcohol,Scrambled,Poured_1_Control_A_Scrambled,Poured_1_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_1_Control_A.png,../User/Pictures/Alcohol/Scrambled_Poured_1_Target_A.png,0.242266058,31,Control,Target,Poured,,
Alcohol,Unscrambled,Unopened_2_Target_A,Unopened_2_Control_A,../User/Pictures/Alcohol/Unopened_2_Target_A.png,../User/Pictures/Alcohol/Unopened_2_Control_A.png,0.345508537,32,Target,Control,Unopened,Oils,
Social Networking,Unscrambled,Phone_4_Control_SN,Phone_4_Target_SN,../User/Pictures/Social_Networking/Phone_4_Control_SN.png,../User/Pictures/Social_Networking/Phone_4_Target_SN.png,0.345668856,33,Control,Target,Phone,2_O_Spades,
Alcohol,Scrambled,Poured_2_Target_A_Scrambled,Poured_2_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_2_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_2_Control_A.png,0.301361585,34,Target,Control,Poured,,
Social Networking,Scrambled,Icon_4_Control_SN_Scrambled,Icon_4_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_4_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_4_Target_SN.png,0.382404996,35,Control,Target,Icon,,
Alcohol,Unscrambled,Social_4_Target_A,Social_4_Control_A,../User/Pictures/Alcohol/Social_4_Target_A.png,../User/Pictures/Alcohol/Social_4_Control_A.png,0.385903059,36,Target,Control,Social,Party,
Social Networking,Scrambled,Phone_2_Target_SN_Scrambled,Phone_2_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_2_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_2_Control_SN.png,0.393425932,37,Target,Control,Phone,,
Alcohol,Unscrambled,Social_2_Control_A,Social_2_Target_A,../User/Pictures/Alcohol/Social_2_Control_A.png,../User/Pictures/Alcohol/Social_2_Target_A.png,0.429374099,38,Control,Target,Social,Sunset,
Alcohol,Scrambled,Unopened_1_Target_A_Scrambled,Unopened_1_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_1_Target_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_1_Control_A.png,0.441516365,39,Target,Control,Unopened,,
Social Networking,Unscrambled,Icon_5_Target_SN,Icon_5_Control_SN,../User/Pictures/Social_Networking/Icon_5_Target_SN.png,../User/Pictures/Social_Networking/Icon_5_Control_SN.png,0.444728684,40,Target,Control,Icon,Washing_Machine,
,,,,,,,,,,,,
